team1,team2,team1_player1,team1_player2,team1_player3,team1_player4,team1_player5,team1_player6,team1_player7,team1_player8,team1_player9,team1_player10,team1_player11,team2_player1,team2_player2,team2_player3,team2_player4,team2_player5,team2_player6,team2_player7,team2_player8,team2_player9,team2_player10,team2_player11,venue,toss_winner,toss_decision,winner
KK,PZ,Babar Azam,Chris Gayle,Kumar Sangakkara,Shoaib Malik,Ravi Bopara,Kieron Pollard,Imad Wasim,Sohail Khan,Mohammad Amir,Usama Mir,Usman Khan,Kamran Akmal,Dawid Malan,Marlon Samuels,Shahid Afridi,Darren Sammy,Khushdil Shah,Mohammad Hafeez,Chris Jordan,Wahab Riaz,Hasan Ali,Mohammad Asghar,Dubai,KK,field,PZ
PZ,QG,Dawid Malan,Kamran Akmal,Marlon Samuels,Mohammad Hafeez,Khushdil Shah,Iftikhar Ahmed,Darren Sammy,Chris Jordan,Wahab Riaz,Hasan Ali,Mohammad Asghar,Morne van Wyk,Ahmed Shehzad,Anamul Haque,Sarfraz Ahmed,Sean Ervine,Saad Nasim,Anwar Ali,Mohammad Nawaz,Rayad Emrit,Hasan Khan,Zulfiqar Babar,Lahore,QG,field,PZ
PZ,MS,Tamim Iqbal,Kamran Akmal,Dwayne Smith,Mohammad Hafeez,Haris Sohail,Darren Sammy,Hammad Azam,Chris Jordan,Wahab Riaz,Ibtisam Sheikh,Mohammad Asghar,Kumar Sangakkara,Ahmed Shehzad,Sohaib Maqsood,Shoaib Malik,Kieron Pollard,Saif Badar,Sohail Tanvir,Hardus Viljoen,Mohammad Irfan,Imran Tahir,Junaid Khan,Dubai,MS,field,MS
KK,QG,Khurram Manzoor,Joe Denly,Babar Azam,Colin Ingram,Ravi Bopara,Shahid Afridi,Imad Wasim,Mohammad Rizwan,Mohammad Irfan,Mohammad Amir,Tymal Mills,Asad Shafiq,Shane Watson,Umar Amin,Kevin Pietersen,Rilee Rossouw,Sarfraz Ahmed,Mohammad Nawaz,Hasan Khan,Anwar Ali,Jofra Archer,Rahat Ali,Dubai,KK,bat,KK
MS,LQ,Kumar Sangakkara,Ahmed Shehzad,Sohaib Maqsood,Shoaib Malik,Kieron Pollard,Darren Bravo,Sohail Tanvir,Saif Badar,Imran Tahir,Junaid Khan,Mohammad Irfan,Fakhar Zaman,Sunil Narine,Brendon McCullum,Umar Akmal,Sohail Akhtar,Cameron Delport,Aamer Yamin,Yasir Shah,Raza Hasan,Shaheen Afridi,Mustafizur Rahman,Dubai,LQ,field,MS
IU,PZ,Luke Ronchi,Chadwick Walton,Asif Ali,Iftikhar Ahmed,Hussain Talat,Samit Patel,Shadab Khan,Andre Russell,Faheem Ashraf,Mohammad Sami,Rumman Raees,Tamim Iqbal,Kamran Akmal,Dwayne Smith,Mohammad Hafeez,Darren Sammy,Haris Sohail,Wahab Riaz,Umaid Asif,Ibtisam Sheikh,Chris Jordan,Mohammad Asghar,Dubai,IU,field,PZ
QG,LQ,Asad Shafiq,Shane Watson,Umar Amin,Kevin Pietersen,Rilee Rossouw,Sarfraz Ahmed,Mohammad Nawaz,Hasan Khan,Anwar Ali,Jofra Archer,Rahat Ali,Brendon McCullum,Sunil Narine,Fakhar Zaman,Cameron Delport,Gulraiz Sadaf,Umar Akmal,Raza Hasan,Sohail Akhtar,Yasir Shah,Shaheen Afridi,Mustafizur Rahman,Dubai,QG,field,QG
MS,IU,Kumar Sangakkara,Ahmed Shehzad,Darren Bravo,Sohaib Maqsood,Shoaib Malik,Kieron Pollard,Saif Badar,Sohail Tanvir,Imran Tahir,Junaid Khan,Mohammad Irfan,Luke Ronchi,Sahibzada Farhan,Chadwick Walton,Asif Ali,Hussain Talat,Andre Russell,Faheem Ashraf,Shadab Khan,Mohammad Sami,Rumman Raees,Steven Finn,Dubai,IU,field,IU
KK,PZ,Khurram Manzoor,Joe Denly,Babar Azam,Colin Ingram,Ravi Bopara,Mohammad Rizwan,Imad Wasim,Shahid Afridi,Mohammad Irfan,Mohammad Amir,Tymal Mills,Tamim Iqbal,Kamran Akmal,Dwayne Smith,Mohammad Hafeez,Haris Sohail,Ibtisam Sheikh,Darren Sammy,Umaid Asif,Chris Jordan,Wahab Riaz,Mohammad Asghar,Dubai,PZ,bat,KK
KK,LQ,Khurram Manzoor,Joe Denly,Babar Azam,Colin Ingram,Ravi Bopara,Mohammad Rizwan,Imad Wasim,Shahid Afridi,Mohammad Irfan,Tymal Mills,Usman Khan,Brendon McCullum,Sunil Narine,Fakhar Zaman,Umar Akmal,Denesh Ramdin,Sohail Akhtar,Agha Salman,Sohail Khan,Yasir Shah,Shaheen Afridi,Mustafizur Rahman,Dubai,KK,bat,KK
IU,QG,Luke Ronchi,Chadwick Walton,Asif Ali,Jean-Paul Duminy,Misbah-ul-Haq,Hussain Talat,Faheem Ashraf,Shadab Khan,Mohammad Sami,Rumman Raees,Steven Finn,Asad Shafiq,Shane Watson,Umar Amin,Kevin Pietersen,Mohammad Nawaz,Sarfraz Ahmed,Mahmudullah,John Hastings,Hasan Khan,Anwar Ali,Rahat Ali,Sharjah,QG,field,QG
QG,PZ,Asad Shafiq,Shane Watson,Umar Amin,Kevin Pietersen,Rilee Rossouw,Sarfraz Ahmed,Mohammad Nawaz,Anwar Ali,John Hastings,Hasan Khan,Rahat Ali,Tamim Iqbal,Kamran Akmal,Dwayne Smith,Mohammad Hafeez,Sabbir Rahman,Khalid Usman,Darren Sammy,Sameen Gul,Umaid Asif,Wahab Riaz,Mohammad Asghar,Sharjah,PZ,field,PZ
LQ,IU,Umar Akmal,Brendon McCullum,Fakhar Zaman,Agha Salman,Denesh Ramdin,Sohail Akhtar,Sunil Narine,Sohail Khan,Yasir Shah,Salman Irshad,Mustafizur Rahman,Luke Ronchi,Sahibzada Farhan,Jean-Paul Duminy,Misbah-ul-Haq,Samit Patel,Asif Ali,Andre Russell,Hussain Talat,Faheem Ashraf,Shadab Khan,Mohammad Sami,Sharjah,LQ,field,IU
MS,QG,Kumar Sangakkara,Ahmed Shehzad,Sohaib Maqsood,Shoaib Malik,Kieron Pollard,Darren Bravo,Sohail Tanvir,Mohammad Irfan,Imran Tahir,Junaid Khan,Saif Badar,Umar Amin,Shane Watson,Rameez Raja,Sarfraz Ahmed,Rilee Rossouw,Mahmudullah,Mohammad Nawaz,Hasan Khan,Anwar Ali,John Hastings,Rahat Ali,Sharjah,MS,field,MS
PZ,LQ,Tamim Iqbal,Kamran Akmal,Mohammad Hafeez,Dwayne Smith,Sabbir Rahman,Liam Dawson,Khalid Usman,Wahab Riaz,Umaid Asif,Hasan Ali,Sameen Gul,Fakhar Zaman,Brendon McCullum,Agha Salman,Denesh Ramdin,Sohail Akhtar,Umar Akmal,Sunil Narine,Sohail Khan,Yasir Shah,Salman Irshad,Mustafizur Rahman,Sharjah,LQ,bat,PZ
